airport_code,index_key
ANC,ANC
,
ATL,F A
ATL,ATL
ATL,Mai
,
BNA,BNA
,
Bos,BOS
,
BQN,BQN
,
BTV,BTV
,
CVG,CVG
,
DEN,DEN
,
DTW,Blu
DTW,DTW
DTW,Red
,
ELP,ELP
,
EWR,CKP
,
EWR,EWR
,
EWR,CKP
,
FAI,FAI
,
FAT,FAT
,
GSN,GSN
,
GUM,GUM
,
IAD,IAD
,
IND,IND
,
JAX,JAX
,
JFK,Ter
,
JFK,Ter
,
JFK,JFK
,
JFK,Ter
,
JFK,Ter
,
,4/6
,
LAS,LAS
,
LAX,Ter
,
LAX,TBI
,
LAX,Ter
LAX,LAX
LAX,Ter
,
LAX,Ter
,
LGA,TB-
LGA,LGA
LGA,TC 
,
LGB,LGB
,
MCI,MCI
,
MCO,EAS
MCO,MCO
MCI,WES
,
MDW,MDW
,
MEM,Int
MEM,MEM
MEM,MEM
,
MIA,2 2
MIA,MIA
MIA,9 4
,
MSP,MSP
,
ONT,ONT
,
ORD,10
,
ORD,ORD
,
ORD,6A 
,
PDX,PDX
,
PHX,T-3
PHX,PHX
PHX,T-4
,
PIT,PIT
,
RNO,RNO
